Matière;Nombre de professeurs;Nombre de quartiers couverts;Liste des quartiers
Mathématiques;7;7;Agla, Agori, Agouako, Cotonou, Niaro/Sinendé, Sainte rita, Womey / abomey-calavi
Anglais;5;11;Abokicodji, Agla, Agori, Akassato, Bidossessi, Calavi Kpota, Centre Godomey, Tankpè, Togba, Tokan abomey calavi, Zogbadjè
Pct;5;5;Agla, Bidossessi, Kandi, Niaro/Sinendé, Sainte rita
Sciences de la vie et de la terre (svt);4;4;Agblangandan, Akassato, Dowa, Tokpota-porto-novo
Anglais professionnel;3;10;Agla, Agori, Akassato, Bidossessi, Calavi Kpota, Centre Godomey, Ouidah, Tankpè, Togba, Zogbadjè
Algèbre;2;5;Adogbèta, Akpakpa, Houèdonou, Ouèdo, Togba
Alia;2;3;Arcon, Calavi Kpota, Cocotomey
Analyse mathématique;2;5;Adogbèta, Akpakpa, Houèdonou, Ouèdo, Togba
Français;2;3;Akassato, Cocotomey, Kandi
Physique;2;2;Agori, Agouako
Alphabétisation (langues nationales);1;1;Agla
Art oratoire;1;1;Agla
Bureautique;1;1;Agla
Chimie;1;1;Akpakpa
Commentaire composé;1;1;Abokicodji
Compte-rendu procès-verbal rapport;1;11;Agla, Arcon, Bidossessi, Calavi Kpota, Centre Godomey, Cité Houeyiho, Fifadji, Gbégamey, Tankpè, Togoudo, Zogbadjè
Contraction de texte;1;1;Abokicodji
Dessin technique;1;1;Agori
Français langue étrangère;1;2;Akassato, Cocotomey
Géographie;1;1;Kandi
Informatique bureautique;1;11;Agla, Arcon, Bidossessi, Calavi Kpota, Centre Godomey, Cité Houeyiho, Fifadji, Gbégamey, Tankpè, Togoudo, Zogbadjè
Math;1;1;Abokicodji
Philosophie;1;1;Dowa
Rédaction administrative;1;11;Agla, Arcon, Bidossessi, Calavi Kpota, Centre Godomey, Cité Houeyiho, Fifadji, Gbégamey, Tankpè, Togoudo, Zogbadjè
Résistance des matériaux ( rdm );1;1;Niaro/Sinendé
Svt;1;1;Bidossessi
Tcf canada;1;1;Abokicodji
